ECS ID,OEIS ID,Description,Terms
285,A001764,Planar trees with arity 2,"1, 1, 3, 12, 55, 273, 1428, 7752, 43263, 246675, 1430715, 8414640, 50067108, 300830572, 1822766520, 11124755664, 68328754959, 422030545335, 2619631042665, 16332922290300, 102240109897695"
286,A002293,Planar trees with arity 3,"1, 1, 4, 22, 140, 969, 7084, 53820, 420732, 3362260, 27343888, 225568798, 1882933364, 15875338990, 134993766600, 1156393243320, 9969937491420, 86445222719724, 753310723010608, 6594154339031800, 57956002331347120"
287,A002294,Planar trees with arity 4,"1, 1, 5, 35, 285, 2530, 23751, 231880, 2330445, 23950355, 250543370, 2658968130, 28558343775, 309831575760, 3390416787880, 37377257159280, 414741863546285, 4628362722856425, 51912988256282175, 584909606696793885, 6617078646960613370"
288,A002295,Planar trees with arity 5,"1, 1, 6, 51, 506, 5481, 62832, 749398, 9203634, 115607310, 1478314266, 19180049928, 251857119696, 3340843549855, 44700485049720, 602574657427116, 8175951659117794, 111572030260242090, 1530312970340384580, 21085148778264281865, 291705220704719165526"
289,A002296,Planar trees with arity 6,"1, 1, 7, 70, 819, 10472, 141778, 1997688, 28989675, 430321633, 6503352856, 99726673130, 1547847846090, 24269405074740, 383846168712104, 6116574500860880, 98106248306858715, 1582638261961640247, 25661404527790252375, 417980115131315136400, 6836064539925118356600"
290,A007556,Planar trees with arity 7,"1, 1, 8, 92, 1240, 18278, 285384, 4638348, 77652024, 1329890705, 23190029720, 410333440536, 7349042994488, 132969010888280, 2426870706415800, 44627576949364104, 826044435409399800, 15378186970730687400, 287756293703544823872, 5409093674555090316300, 102094541350737142767560"
291,A000110,Hierarchies of height 2,"0, 1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975, 678570, 4213597, 27644437, 190899322, 1382958545, 10480142147, 82864869804, 682076806159, 5832742205057, 51724158235372"
292,A000258,Hierarchies of height 3,"0, 1, 3, 12, 60, 358, 2471, 19302, 167894, 1606137, 16733779, 188378402, 2276423485, 29367807524, 402577243425, 5840190914957, 89345001017415, 1436904211547895, 24227076487779802, 427187837301557598, 7859930038606521508"
293,A000307,Hierarchies of height 4,"0, 1, 4, 22, 154, 1304, 12915, 146115, 1855570, 26097835, 402215465, 6734414075, 121629173423, 2355470737637, 48664218965021, 1067895971109199, 24795678053493443, 607144847919796830, 15630954703539323090, 421990078975569031642, 11918095123121138408128"
294,A000357,Hierarchies of height 5,"0, 1, 5, 35, 315, 3455, 44590, 660665, 11035095, 204904830, 4183174520, 93055783320, 2238954627848, 57903797748386, 1601122732128779, 47120734323344439, 1470076408565099152, 48449426629560437576, 1681560512531504058350, 61293054886119796799892, 2340495383889150212466948"
295,A000405,Hierarchies of height 6,"0, 1, 6, 51, 561, 7556, 120196, 2201856, 45592666, 1051951026, 26740775306, 742069051906, 22310563733864, 722108667742546, 25024187820786357, 924161461265888370, 36223781285638309482, 1501552062016443881514, 65615806216647567704054, 3014172185130478508636024, 145182909448358007294714590"
296,A001669,Hierarchies of height 7,"0, 1, 7, 70, 910, 14532, 274778, 5995892, 148154860, 4085619622, 124304629050, 4133867297490, 149114120602860, 5796433459664946, 241482353893283349, 10730629952953517859, 506500241174366575122, 25302666611855946733140, 1333471119612688471631328, 73923363837227520623765352, 4299708620818860783778474398"
297,A000142,Mobiles of height 1,"0, 1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600, 6227020800, 87178291200, 1307674368000, 20922789888000, 355687428096000, 6402373705728000, 121645100408832000"
298,A003713,Mobiles of height 2,"0, 1, 2, 7, 35, 228, 1834, 17582, 195866, 2487832, 35499576, 562356672, 9794156448, 186025364016, 3826961710272, 84775065603888, 2011929826983504, 50929108873336320, 1369732445916318336, 39005083331889816960, 1172419218038422659456"
299,A000268,Mobiles of height 3,"0, 1, 3, 15, 105, 947, 10472, 137337, 2085605, 36017472, 697407850, 14969626900, 352877606716, 9064191508018, 252024567201300, 7542036496650006, 241721880399970938, 8261159383595659128, 299916384730043070880, 11526945327529620432872, 467583770376898192016104"
300,A000310,Mobiles of height 4,"0, 1, 4, 26, 234, 2696, 37919, 630521, 12111114, 264051201, 6445170229, 174183891471, 5164718385337, 166737090160871, 5822980248613990, 218756388226681557, 8797723991458469015, 377159237609540937788, 17170729962232112834302, 827382365085791968518198, 42070004707327023844695198"
301,A000359,Mobiles of height 5,"0, 1, 5, 40, 440, 6170, 105315, 2120610, 49242470, 1296133195, 38152216495, 1242274374380, 44345089721923, 1722416374173854, 72330102999829054, 3265871028909088036, 157797437377747327987, 8124524883679977475839, 444098724261935142753430, 25686620182635742154482138, 1567441612942183018305827618"
302,A000406,Mobiles of height 6,"0, 1, 6, 57, 741, 12244, 245755, 5809875, 158198200, 4877852505, 168055077875, 6400217406500, 267058149580823, 12118701719205803, 594291742526530761, 31323687504696772151, 1766116437541895988303, 106080070002238888908150, 6762678693433293430855775, 456089950304946700613289273, 32445336399389998905087025058"
303,A001765,Mobiles of height 7,"0, 1, 7, 77, 1155, 21973, 506989, 13761937, 429853851, 15192078027, 599551077881, 26140497946017, 1248134313062231, 64783855286002573, 3632510833677434324, 218845138322691595694, 14099918095287618382033, 967508237903439910445565, 70447525748137979196484589, 5425461926437298984197741397, 440656493700770851119310401035"
304,A003945,FAIL,"1, 3, 6, 12, 24, 48, 96, 192, 384, 768, 1536, 3072, 6144, 12288, 24576, 49152, 98304, 196608, 393216, 786432, 1572864"
305,A003946,FAIL,"1, 4, 12, 36, 108, 324, 972, 2916, 8748, 26244, 78732, 236196, 708588, 2125764, 6377292, 19131876, 57395628, 172186884, 516560652, 1549681956, 4649045868"
306,A003947,FAIL,"1, 5, 20, 80, 320, 1280, 5120, 20480, 81920, 327680, 1310720, 5242880, 20971520, 83886080, 335544320, 1342177280, 5368709120, 21474836480, 85899345920, 343597383680, 1374389534720"
307,A003948,FAIL,"1, 6, 30, 150, 750, 3750, 18750, 93750, 468750, 2343750, 11718750, 58593750, 292968750, 1464843750, 7324218750, 36621093750, 183105468750, 915527343750, 4577636718750, 22888183593750, 114440917968750"
308,A003949,FAIL,"1, 7, 42, 252, 1512, 9072, 54432, 326592, 1959552, 11757312, 70543872, 423263232, 2539579392, 15237476352, 91424858112, 548549148672, 3291294892032, 19747769352192, 118486616113152, 710919696678912, 4265518180073472"
309,A003950,FAIL,"1, 8, 56, 392, 2744, 19208, 134456, 941192, 6588344, 46118408, 322828856, 2259801992, 15818613944, 110730297608, 775112083256, 5425784582792, 37980492079544, 265863444556808, 1861044111897656, 13027308783283592, 91191161482985144"
310,A003951,FAIL,"1, 9, 72, 576, 4608, 36864, 294912, 2359296, 18874368, 150994944, 1207959552, 9663676416, 77309411328, 618475290624, 4947802324992, 39582418599936, 316659348799488, 2533274790395904, 20266198323167232, 162129586585337856, 1297036692682702848"
311,A003952,FAIL,"1, 10, 90, 810, 7290, 65610, 590490, 5314410, 47829690, 430467210, 3874204890, 34867844010, 313810596090, 2824295364810, 25418658283290, 228767924549610, 2058911320946490, 18530201888518410, 166771816996665690, 1500946352969991210, 13508517176729920890"
312,A003953,FAIL,"1, 11, 110, 1100, 11000, 110000, 1100000, 11000000, 110000000, 1100000000, 11000000000, 110000000000, 1100000000000, 11000000000000, 110000000000000, 1100000000000000, 11000000000000000, 110000000000000000, 1100000000000000000, 11000000000000000000, 110000000000000000000"
313,A003954,FAIL,"1, 12, 132, 1452, 15972, 175692, 1932612, 21258732, 233846052, 2572306572, 28295372292, 311249095212, 3423740047332, 37661140520652, 414272545727172, 4556998002998892, 50126978032987812, 551396758362865932, 6065364341991525252, 66719007761906777772, 733909085380974555492"
314,A005843,Multiples of 2,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40"
315,A008585,Multiples of 3,"0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51, 54, 57, 60"
316,A008586,Multiples of 4,"0, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68, 72, 76, 80"
317,A008587,Multiples of 5,"0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100"
318,A008588,Multiples of 6,"0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, 90, 96, 102, 108, 114, 120"
319,A008589,Multiples of 7,"0, 7, 14, 21, 28, 35, 42, 49, 56, 63, 70, 77, 84, 91, 98, 105, 112, 119, 126, 133, 140"
320,A008590,Multiples of 8,"0, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160"
321,A008591,Multiples of 9,"0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99, 108, 117, 126, 135, 144, 153, 162, 171, 180"
322,A008592,Multiples of 10,"0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200"
323,A008593,Multiples of 11,"0, 11, 22, 33, 44, 55, 66, 77, 88, 99, 110, 121, 132, 143, 154, 165, 176, 187, 198, 209, 220"
324,A008594,Multiples of 12,"0, 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204, 216, 228, 240"
325,A008595,Multiples of 13,"0, 13, 26, 39, 52, 65, 78, 91, 104, 117, 130, 143, 156, 169, 182, 195, 208, 221, 234, 247, 260"
326,A008596,Multiples of 14,"0, 14, 28, 42, 56, 70, 84, 98, 112, 126, 140, 154, 168, 182, 196, 210, 224, 238, 252, 266, 280"
327,A008597,Multiples of 15,"0, 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165, 180, 195, 210, 225, 240, 255, 270, 285, 300"
328,A008598,Multiples of 16,"0, 16, 32, 48, 64, 80, 96, 112, 128, 144, 160, 176, 192, 208, 224, 240, 256, 272, 288, 304, 320"
329,A008599,Multiples of 17,"0, 17, 34, 51, 68, 85, 102, 119, 136, 153, 170, 187, 204, 221, 238, 255, 272, 289, 306, 323, 340"
330,A008600,Multiples of 18,"0, 18, 36, 54, 72, 90, 108, 126, 144, 162, 180, 198, 216, 234, 252, 270, 288, 306, 324, 342, 360"
331,A008601,Multiples of 19,"0, 19, 38, 57, 76, 95, 114, 133, 152, 171, 190, 209, 228, 247, 266, 285, 304, 323, 342, 361, 380"
332,A008602,Multiples of 20,"0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400"
333,A008603,Multiples of 21,"0, 21, 42, 63, 84, 105, 126, 147, 168, 189, 210, 231, 252, 273, 294, 315, 336, 357, 378, 399, 420"
334,A008604,Multiples of 22,"0, 22, 44, 66, 88, 110, 132, 154, 176, 198, 220, 242, 264, 286, 308, 330, 352, 374, 396, 418, 440"
335,A008605,Multiples of 23,"0, 23, 46, 69, 92, 115, 138, 161, 184, 207, 230, 253, 276, 299, 322, 345, 368, 391, 414, 437, 460"
336,A008606,Multiples of 24,"0, 24, 48, 72, 96, 120, 144, 168, 192, 216, 240, 264, 288, 312, 336, 360, 384, 408, 432, 456, 480"
337,A008607,Multiples of 25,"0, 25, 50, 75, 100, 125, 150, 175, 200, 225, 250, 275, 300, 325, 350, 375, 400, 425, 450, 475, 500"
338,A000290,1-gonal numbers,"1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144, 169, 196, 225, 256, 289, 324, 361, 400, 441"
339,A000326,2-gonal numbers,"1, 5, 12, 22, 35, 51, 70, 92, 117, 145, 176, 210, 247, 287, 330, 376, 425, 477, 532, 590, 651"
340,A000384,3-gonal numbers,"1, 6, 15, 28, 45, 66, 91, 120, 153, 190, 231, 276, 325, 378, 435, 496, 561, 630, 703, 780, 861"
341,A000566,4-gonal numbers,"1, 7, 18, 34, 55, 81, 112, 148, 189, 235, 286, 342, 403, 469, 540, 616, 697, 783, 874, 970, 1071"
342,A000567,5-gonal numbers,"1, 8, 21, 40, 65, 96, 133, 176, 225, 280, 341, 408, 481, 560, 645, 736, 833, 936, 1045, 1160, 1281"
343,A001106,6-gonal numbers,"1, 9, 24, 46, 75, 111, 154, 204, 261, 325, 396, 474, 559, 651, 750, 856, 969, 1089, 1216, 1350, 1491"
344,A001107,7-gonal numbers,"1, 10, 27, 52, 85, 126, 175, 232, 297, 370, 451, 540, 637, 742, 855, 976, 1105, 1242, 1387, 1540, 1701"
345,A000225,Partitions of a set of size n into 2 non-empty subsets,"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191, 16383, 32767, 65535, 131071, 262143, 524287, 1048575, 2097151"
346,A000392,Partitions of a set of size n into 3 non-empty subsets,"1, 6, 25, 90, 301, 966, 3025, 9330, 28501, 86526, 261625, 788970, 2375101, 7141686, 21457825, 64439010, 193448101, 580606446, 1742343625, 5228079450, 15686335501"
347,A000453,Partitions of a set of size n into 4 non-empty subsets,"1, 10, 65, 350, 1701, 7770, 34105, 145750, 611501, 2532530, 10391745, 42355950, 171798901, 694337290, 2798806985, 11259666950, 45232115901, 181509070050, 727778623825, 2916342574750, 11681056634501"
348,A000481,Partitions of a set of size n into 5 non-empty subsets,"1, 15, 140, 1050, 6951, 42525, 246730, 1379400, 7508501, 40075035, 210766920, 1096190550, 5652751651, 28958095545, 147589284710, 749206090500, 3791262568401, 19137821912055, 96416888184100, 485000783495250, 2436684974110751"
349,A000770,Partitions of a set of size n into 6 non-empty subsets,"1, 21, 266, 2646, 22827, 179487, 1323652, 9321312, 63436373, 420693273, 2734926558, 17505749898, 110687251039, 693081601779, 4306078895384, 26585679462804, 163305339345225, 998969857983405, 6090236036084530, 37026417000002430, 224595186974125331"
350,A000771,Partitions of a set of size n into 7 non-empty subsets,"1, 28, 462, 5880, 63987, 627396, 5715424, 49329280, 408741333, 3281882604, 25708104786, 197462483400, 1492924634839, 11143554045652, 82310957214948, 602762379967440, 4382641999117305, 31677463851804540, 227832482998716310, 1631853797991016600, 11647571772911241531"
351,A008619,Partition of n in at most 2 parts,"1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11"
352,A001399,Partition of n in at most 3 parts,"1, 1, 2, 3, 4, 5, 7, 8, 10, 12, 14, 16, 19, 21, 24, 27, 30, 33, 37, 40, 44"
353,A001400,Partition of n in at most 4 parts,"1, 1, 2, 3, 5, 6, 9, 11, 15, 18, 23, 27, 34, 39, 47, 54, 64, 72, 84, 94, 108"
354,A001401,Partition of n in at most 5 parts,"1, 1, 2, 3, 5, 7, 10, 13, 18, 23, 30, 37, 47, 57, 70, 84, 101, 119, 141, 164, 192"
355,A001402,Partition of n in at most 6 parts,"1, 1, 2, 3, 5, 7, 11, 14, 20, 26, 35, 44, 58, 71, 90, 110, 136, 163, 199, 235, 282"
356,A008636,Partition of n in at most 7 parts,"1, 1, 2, 3, 5, 7, 11, 15, 21, 28, 38, 49, 65, 82, 105, 131, 164, 201, 248, 300, 364"
357,A008637,Partition of n in at most 8 parts,"1, 1, 2, 3, 5, 7, 11, 15, 22, 29, 40, 52, 70, 89, 116, 146, 186, 230, 288, 352, 434"
358,A008638,Partition of n in at most 9 parts,"1, 1, 2, 3, 5, 7, 11, 15, 22, 30, 41, 54, 73, 94, 123, 157, 201, 252, 318, 393, 488"
359,A008639,Partition of n in at most 10 parts,"1, 1, 2, 3, 5, 7, 11, 15, 22, 30, 42, 55, 75, 97, 128, 164, 212, 267, 340, 423, 530"
360,A008640,Partition of n in at most 11 parts,"1, 1, 2, 3, 5, 7, 11, 15, 22, 30, 42, 56, 76, 99, 131, 169, 219, 278, 355, 445, 560"
361,A008641,Partition of n in at most 12 parts,"1, 1, 2, 3, 5, 7, 11, 15, 22, 30, 42, 56, 77, 100, 133, 172, 224, 285, 366, 460, 582"
362,A000051,Sum of nth powers,"2, 3, 5, 9, 17, 33, 65, 129, 257, 513, 1025, 2049, 4097, 8193, 16385, 32769, 65537, 131073, 262145, 524289, 1048577"
363,A001550,Sum of nth powers,"3, 6, 14, 36, 98, 276, 794, 2316, 6818, 20196, 60074, 179196, 535538, 1602516, 4799354, 14381676, 43112258, 129271236, 387682634, 1162785756, 3487832978"
364,A001551,Sum of nth powers,"4, 10, 30, 100, 354, 1300, 4890, 18700, 72354, 282340, 1108650, 4373500, 17312754, 68711380, 273234810, 1088123500, 4338079554, 17309140420, 69107159370, 276040692700, 1102999460754"
365,A001552,Sum of nth powers,"5, 15, 55, 225, 979, 4425, 20515, 96825, 462979, 2235465, 10874275, 53201625, 261453379, 1289414505, 6376750435, 31605701625, 156925970179, 780248593545, 3883804424995, 19349527020825, 96470431101379"
366,A001553,Sum of nth powers,"6, 21, 91, 441, 2275, 12201, 67171, 376761, 2142595, 12313161, 71340451, 415998681, 2438235715, 14350108521, 84740914531, 501790686201, 2978035877635, 17706908038281, 105443761093411, 628709267031321, 3752628871164355"
367,A001554,Sum of nth powers,"7, 28, 140, 784, 4676, 29008, 184820, 1200304, 7907396, 52666768, 353815700, 2393325424, 16279522916, 111239118928, 762963987380, 5249352196144, 36210966447236, 250337422025488, 1733857359003860, 12027604452404464, 83544895168776356"
368,A001555,Sum of nth powers,"8, 36, 204, 1296, 8772, 61776, 446964, 3297456, 24684612, 186884496, 1427557524, 10983260016, 84998999652, 660994932816, 5161010498484, 40433724284976, 317685943157892, 2502137235710736, 19748255868485844, 156142792528260336, 1236466399775623332"
369,A001556,Sum of nth powers,"9, 45, 285, 2025, 15333, 120825, 978405, 8080425, 67731333, 574304985, 4914341925, 42364319625, 367428536133, 3202860761145, 28037802953445, 246324856379625, 2170706132009733, 19179318935377305, 169842891165484965, 1506994510201252425, 13394131858832552133"
370,A001557,Sum of nth powers,"10, 55, 385, 3025, 25333, 220825, 1978405, 18080425, 167731333, 1574304985, 14914341925, 142364319625, 1367428536133, 13202860761145, 128037802953445, 1246324856379625, 12170706132009733, 119179318935377305, 1169842891165484965, 11506994510201252425, 113394131858832552133"
371,A000225,FAIL,"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023, 2047, 4095, 8191, 16383, 32767, 65535, 131071, 262143, 524287, 1048575, 2097151"
372,A003462,FAIL,"1, 4, 13, 40, 121, 364, 1093, 3280, 9841, 29524, 88573, 265720, 797161, 2391484, 7174453, 21523360, 64570081, 193710244, 581130733, 1743392200, 5230176601"
373,A002450,FAIL,"1, 5, 21, 85, 341, 1365, 5461, 21845, 87381, 349525, 1398101, 5592405, 22369621, 89478485, 357913941, 1431655765, 5726623061, 22906492245, 91625968981, 366503875925, 1466015503701"
374,A003463,FAIL,"1, 6, 31, 156, 781, 3906, 19531, 97656, 488281, 2441406, 12207031, 61035156, 305175781, 1525878906, 7629394531, 38146972656, 190734863281, 953674316406, 4768371582031, 23841857910156, 119209289550781"
375,A003464,FAIL,"1, 7, 43, 259, 1555, 9331, 55987, 335923, 2015539, 12093235, 72559411, 435356467, 2612138803, 15672832819, 94036996915, 564221981491, 3385331888947, 20311991333683, 121871948002099, 731231688012595, 4387390128075571"
376,A000930,FAIL,"1, 1, 1, 1, 2, 3, 4, 6, 9, 13, 19, 28, 41, 60, 88, 129, 189, 277, 406, 595, 872"
377,A003269,FAIL,"1, 1, 1, 1, 1, 2, 3, 4, 5, 7, 10, 14, 19, 26, 36, 50, 69, 95, 131, 181, 250"
378,A003520,FAIL,"1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 6, 8, 11, 15, 20, 26, 34, 45, 60, 80, 106"
379,A005708,FAIL,"1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 6, 7, 9, 12, 16, 21, 27, 34, 43, 55"
380,A005709,FAIL,"1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 17, 22, 28, 35"
381,A005710,FAIL,"1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 14, 18, 23"
382,A005711,FAIL,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15"
383,A000034,FAIL,"1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1"
384,A000071,FAIL,"0, 0, 0, 1, 2, 4, 7, 12, 20, 33, 54, 88, 143, 232, 376, 609, 986, 1596, 2583, 4180, 6764"
385,A000106,FAIL,"0, 1, 2, 5, 12, 30, 74, 188, 478, 1235, 3214, 8450, 22370, 59676, 160140, 432237, 1172436, 3194870, 8741442, 24007045, 66154654"
386,A000124,FAIL,"1, 2, 4, 7, 11, 16, 22, 29, 37, 46, 56, 67, 79, 92, 106, 121, 137, 154, 172, 191, 211"
387,A000151,FAIL,"0, 1, 2, 7, 26, 107, 458, 2058, 9498, 44947, 216598, 1059952, 5251806, 26297238, 132856766, 676398395, 3466799104, 17873508798, 92630098886, 482292684506, 2521610175006"
388,A000295,FAIL,"1, 4, 11, 26, 57, 120, 247, 502, 1013, 2036, 4083, 8178, 16369, 32752, 65519, 131054, 262125, 524268, 1048555, 2097130, 4194281"
389,A000340,FAIL,"1, 5, 18, 58, 179, 543, 1636, 4916, 14757, 44281, 132854, 398574, 1195735, 3587219, 10761672, 32285032, 96855113, 290565357, 871696090, 2615088290, 7845264891"
390,A000713,FAIL,"0, 1, 3, 8, 18, 38, 74, 139, 249, 434, 734, 1215, 1967, 3132, 4902, 7567, 11523, 17345, 25815, 38045, 55535"
391,A000716,FAIL,"1, 3, 9, 22, 51, 108, 221, 429, 810, 1479, 2640, 4599, 7868, 13209, 21843, 35581, 57222, 90882, 142769, 221910, 341649"
392,A000780,FAIL,"1, 4, 16, 78, 456, 3120, 24480, 216720, 2136960, 23224320, 275788800, 3552595200, 49337164800, 734788454400, 11681891020800, 197458829568000, 3535951491072000, 66869236482048000, 1331693730791424000, 27856727993622528000, 610658404052336640000"
393,A000931,FAIL,"1, 0, 1, 1, 1, 2, 2, 3, 4, 5, 7, 9, 12, 16, 21, 28, 37, 49, 65, 86, 114"
394,A000975,FAIL,"1, 2, 5, 10, 21, 42, 85, 170, 341, 682, 1365, 2730, 5461, 10922, 21845, 43690, 87381, 174762, 349525, 699050, 1398101"
395,A001002,FAIL,"0, 1, 1, 3, 10, 38, 154, 654, 2871, 12925, 59345, 276835, 1308320, 6250832, 30142360, 146510216, 717061938, 3530808798, 17478955570, 86941210950, 434299921440"
396,A001005,FAIL,"0, 1, 0, 1, 1, 2, 5, 8, 21, 42, 96, 222, 495, 1177, 2717, 6435, 15288, 36374, 87516, 210494, 509694"
397,A001047,FAIL,"0, 1, 5, 19, 65, 211, 665, 2059, 6305, 19171, 58025, 175099, 527345, 1586131, 4766585, 14316139, 42981185, 129009091, 387158345, 1161737179, 3485735825"
398,A001076,FAIL,"1, 4, 17, 72, 305, 1292, 5473, 23184, 98209, 416020, 1762289, 7465176, 31622993, 133957148, 567451585, 2403763488, 10182505537, 43133785636, 182717648081, 774004377960, 3278735159921"
399,A001286,FAIL,"0, 1, 6, 36, 240, 1800, 15120, 141120, 1451520, 16329600, 199584000, 2634508800, 37362124800, 566658892800, 9153720576000, 156920924160000, 2845499424768000, 54420176498688000, 1094805903679488000, 23112569077678080000, 510909421717094400000"
400,A001339,FAIL,"1, 3, 11, 49, 261, 1631, 11743, 95901, 876809, 8877691, 98641011, 1193556233, 15624736141, 220048367319, 3317652307271, 53319412081141, 909984632851473, 16436597430879731, 313262209859119579, 6282647653285676001, 132266266384961600021"
401,A001590,FAIL,"1, 0, 1, 2, 3, 6, 11, 20, 37, 68, 125, 230, 423, 778, 1431, 2632, 4841, 8904, 16377, 30122, 55403"
402,A001611,FAIL,"2, 1, 2, 2, 3, 4, 6, 9, 14, 22, 35, 56, 90, 145, 234, 378, 611, 988, 1598, 2585, 4182"
403,A001653,FAIL,"1, 5, 29, 169, 985, 5741, 33461, 195025, 1136689, 6625109, 38613965, 225058681, 1311738121, 7645370045, 44560482149, 259717522849, 1513744654945, 8822750406821, 51422757785981, 299713796309065, 1746860020068409"
404,A001678,FAIL,"0, 0, 1, 1, 2, 3, 6, 10, 19, 35, 67, 127, 248, 482, 952, 1885, 3765, 7546, 15221, 30802, 62620"
405,A001687,FAIL,"1, 0, 1, 0, 1, 1, 1, 2, 1, 3, 2, 4, 4, 5, 7, 7, 11, 11, 16, 18, 23"
406,A001705,FAIL,"0, 1, 5, 26, 154, 1044, 8028, 69264, 663696, 6999840, 80627040, 1007441280, 13575738240, 196287356160, 3031488633600, 49811492505600, 867718162483200, 15974614352793600, 309920046408806400, 6320046028584960000, 135153868608460800000"
407,A001763,FAIL,"1, 1, 6, 72, 1320, 32760, 1028160, 39070080, 1744364160, 89513424000, 5191778592000, 335885501952000, 23982224839372800, 1873278229119897600, 158905670470170624000, 14547557832075620352000, 1429628183315795054592000, 150110959248158480732160000, 16771856906267220522885120000, 1986819971973193815787929600000, 248740168686302533083888844800000"
408,A001787,FAIL,"0, 1, 4, 12, 32, 80, 192, 448, 1024, 2304, 5120, 11264, 24576, 53248, 114688, 245760, 524288, 1114112, 2359296, 4980736, 10485760"
409,A001835,FAIL,"1, 3, 11, 41, 153, 571, 2131, 7953, 29681, 110771, 413403, 1542841, 5757961, 21489003, 80198051, 299303201, 1117014753, 4168755811, 15558008491, 58063278153, 216695104121"
410,A002378,FAIL,"0, 0, 2, 6, 12, 20, 30, 42, 56, 72, 90, 110, 132, 156, 182, 210, 240, 272, 306, 342, 380"
411,A002420,leaves in binary trees or pairs of binary trees,"0, 2, 2, 4, 10, 28, 84, 264, 858, 2860, 9724, 33592, 117572, 416024, 1485800, 5348880, 19389690, 70715340, 259289580, 955277400, 3534526380"
412,A002478,FAIL,"1, 1, 3, 6, 13, 28, 60, 129, 277, 595, 1278, 2745, 5896, 12664, 27201, 58425, 125491, 269542, 578949, 1243524, 2670964"
413,A002623,FAIL,"1, 3, 7, 13, 22, 34, 50, 70, 95, 125, 161, 203, 252, 308, 372, 444, 525, 615, 715, 825, 946"
414,A002697,FAIL,"0, 1, 8, 48, 256, 1280, 6144, 28672, 131072, 589824, 2621440, 11534336, 50331648, 218103808, 939524096, 4026531840, 17179869184, 73014444032, 309237645312, 1305670057984, 5497558138880"
415,A003168,FAIL,"1, 1, 4, 21, 126, 818, 5594, 39693, 289510, 2157150, 16348960, 125642146, 976789620, 7668465964, 60708178054, 484093913917, 3884724864390, 31348290348086, 254225828706248, 2070856216759478, 16936016649259364"
416,A003169,FAIL,"0, 1, 3, 14, 79, 494, 3294, 22952, 165127, 1217270, 9146746, 69799476, 539464358, 4214095612, 33218794236, 263908187100, 2110912146295, 16985386737830, 137394914285538, 1116622717709012, 9113225693455362"
417,A003229,FAIL,"1, 1, 1, 3, 5, 7, 13, 23, 37, 63, 109, 183, 309, 527, 893, 1511, 2565, 4351, 7373, 12503, 21205"
418,A003480,FAIL,"1, 2, 7, 24, 82, 280, 956, 3264, 11144, 38048, 129904, 443520, 1514272, 5170048, 17651648, 60266496, 205762688, 702517760, 2398545664, 8189147136, 27959497216"
419,A003688,FAIL,"1, 1, 4, 13, 43, 142, 469, 1549, 5116, 16897, 55807, 184318, 608761, 2010601, 6640564, 21932293, 72437443, 239244622, 790171309, 2609758549, 8619446956"
420,A004116,FAIL,"1, 3, 6, 9, 13, 17, 22, 27, 33, 39, 46, 53, 61, 69, 78, 87, 97, 107, 118, 129, 141"
421,A004148,FAIL,"0, 1, 1, 1, 2, 4, 8, 17, 37, 82, 185, 423, 978, 2283, 5373, 12735, 30372, 72832, 175502, 424748, 1032004"
